fixture,source,nodes,edges,version,crossings,overlaps,dirChanges,trunkVar,edgeLen,area
mlcm-crossing-challenge,mlcm,8,8,v0-original,0,4,2,243.36,504,84942
mlcm-crossing-challenge,mlcm,8,8,v1-compact-ordered,0,4,2,243.36,463,84240
mlcm-crossing-challenge,mlcm,8,8,v2-compact-spectral,0,4,2,243.36,463,84240
mlcm-crossing-challenge,mlcm,8,8,v3-compact-classic,0,4,2,243.36,463,84240
mlcm-crossing-challenge,mlcm,8,8,v4-grid-ordered,0,4,2,243.36,504,84942
mlcm-crossing-challenge,mlcm,8,8,v5-compact-refined,0,4,2,243.36,463,84240
mlcm-dense-interchange,mlcm,13,12,v0-original,0,3,4,0,1094,107406
mlcm-dense-interchange,mlcm,13,12,v1-compact-ordered,0,3,4,0,1461,187083
mlcm-dense-interchange,mlcm,13,12,v2-compact-spectral,0,3,4,0,1461,187083
mlcm-dense-interchange,mlcm,13,12,v3-compact-classic,0,3,4,0,1461,187083
mlcm-dense-interchange,mlcm,13,12,v4-grid-ordered,0,3,4,0,1094,107406
mlcm-dense-interchange,mlcm,13,12,v5-compact-refined,0,3,4,0,1461,187083
mlcm-diamond-merge,mlcm,11,10,v0-original,0,17,1,0,594,111618
mlcm-diamond-merge,mlcm,11,10,v1-compact-ordered,0,17,1,0,563,115830
mlcm-diamond-merge,mlcm,11,10,v2-compact-spectral,0,17,1,0,563,115830
mlcm-diamond-merge,mlcm,11,10,v3-compact-classic,0,17,1,0,563,115830
mlcm-diamond-merge,mlcm,11,10,v4-grid-ordered,0,17,1,0,594,111618
mlcm-diamond-merge,mlcm,11,10,v5-compact-refined,0,17,1,0,563,115830
mlcm-parallel-runs,mlcm,10,9,v0-original,0,17,1,186.24,618,130221
mlcm-parallel-runs,mlcm,10,9,v1-compact-ordered,0,17,1,186.24,534,122850
mlcm-parallel-runs,mlcm,10,9,v2-compact-spectral,0,17,1,186.24,534,122850
mlcm-parallel-runs,mlcm,10,9,v3-compact-classic,0,17,1,186.24,534,122850
mlcm-parallel-runs,mlcm,10,9,v4-grid-ordered,0,17,1,186.24,618,130221
mlcm-parallel-runs,mlcm,10,9,v5-compact-refined,0,17,1,186.24,534,122850
mlcm-trunk-branches,mlcm,17,16,v0-original,0,23,0,0,1015,130221
mlcm-trunk-branches,mlcm,17,16,v1-compact-ordered,0,23,0,0,1066,146055
mlcm-trunk-branches,mlcm,17,16,v2-compact-spectral,0,23,0,0,1066,146055
mlcm-trunk-branches,mlcm,17,16,v3-compact-classic,0,23,0,0,1066,146055
mlcm-trunk-branches,mlcm,17,16,v4-grid-ordered,0,23,0,0,1015,130221
mlcm-trunk-branches,mlcm,17,16,v5-compact-refined,0,23,0,0,1066,146055
metro-bvg,metro,169,180,v0-original,145,562,61,7544.16,30930,2187900
metro-bvg,metro,169,180,v1-compact-ordered,17,648,43,13794.52,18148,2279277
metro-bvg,metro,169,180,v2-compact-spectral,17,648,43,13794.52,18148,2279277
metro-bvg,metro,169,180,v3-compact-classic,145,560,61,7544.16,25197,2477475
metro-bvg,metro,169,180,v4-grid-ordered,17,645,43,13794.52,24336,2012868
metro-bvg,metro,169,180,v5-compact-refined,17,648,43,13794.52,18148,2279277
metro-lisboa,metro,50,52,v0-original,2,277,12,150.22,8327,848718
metro-lisboa,metro,50,52,v1-compact-ordered,1,278,5,150.22,5519,797004
metro-lisboa,metro,50,52,v2-compact-spectral,1,278,5,150.22,5519,797004
metro-lisboa,metro,50,52,v3-compact-classic,2,277,12,150.22,5653,863421
metro-lisboa,metro,50,52,v4-grid-ordered,1,278,5,150.22,8145,783432
metro-lisboa,metro,50,52,v5-compact-refined,1,278,5,150.22,5519,797004
metro-montpellier,metro,82,85,v0-original,14,343,18,2405.39,11108,945945
metro-montpellier,metro,82,85,v1-compact-ordered,4,378,19,900.66,5536,707772
metro-montpellier,metro,82,85,v2-compact-spectral,4,378,19,900.66,5536,707772
metro-montpellier,metro,82,85,v3-compact-classic,14,343,18,2405.39,6472,816660
metro-montpellier,metro,82,85,v4-grid-ordered,4,379,19,900.66,10419,819819
metro-montpellier,metro,82,85,v5-compact-refined,4,378,19,900.66,5536,707772
metro-nantes,metro,81,80,v0-original,16,367,17,12257.12,10342,945945
metro-nantes,metro,81,80,v1-compact-ordered,5,381,11,12257.12,6687,1013805
metro-nantes,metro,81,80,v2-compact-spectral,5,381,11,12257.12,6687,1013805
metro-nantes,metro,81,80,v3-compact-classic,16,367,17,12257.12,6961,1013805
metro-nantes,metro,81,80,v4-grid-ordered,5,381,11,12257.12,10164,945945
metro-nantes,metro,81,80,v5-compact-refined,5,381,11,12257.12,6687,1013805
metro-stockholm,metro,99,99,v0-original,9,416,20,1172.1,12663,1034280
metro-stockholm,metro,99,99,v1-compact-ordered,1,446,11,2897.97,8285,1151280
metro-stockholm,metro,99,99,v2-compact-spectral,1,446,11,2897.97,8285,1151280
metro-stockholm,metro,99,99,v3-compact-classic,9,418,20,1172.1,8906,1223235
metro-stockholm,metro,99,99,v4-grid-ordered,1,438,11,2897.97,12164,973440
metro-stockholm,metro,99,99,v5-compact-refined,1,446,11,2897.97,8285,1151280
metro-wien,metro,98,104,v0-original,9,388,21,4285.73,13750,1007370
metro-wien,metro,98,104,v1-compact-ordered,3,397,15,4087.69,7359,921102
metro-wien,metro,98,104,v2-compact-spectral,3,397,15,4087.69,7359,921102
metro-wien,metro,98,104,v3-compact-classic,9,387,21,4285.73,7509,921102
metro-wien,metro,98,104,v4-grid-ordered,3,400,15,4087.69,13647,1007370
metro-wien,metro,98,104,v5-compact-refined,3,397,15,4087.69,7359,921102
airport_luggage,internal,8,7,v0-original,0,6,0,0,630,185328
airport_luggage,internal,8,7,v1-compact-ordered,0,6,0,0,378,126360
airport_luggage,internal,8,7,v2-compact-spectral,0,6,0,0,378,126360
airport_luggage,internal,8,7,v3-compact-classic,0,6,0,0,378,126360
airport_luggage,internal,8,7,v4-grid-ordered,0,6,0,0,630,185328
airport_luggage,internal,8,7,v5-compact-refined,0,6,0,0,378,126360
cicd,internal,8,8,v0-original,0,3,1,0,743,197262
cicd,internal,8,8,v1-compact-ordered,0,3,1,0,567,151740
cicd,internal,8,8,v2-compact-spectral,0,3,1,0,567,151740
cicd,internal,8,8,v3-compact-classic,0,3,1,0,567,151740
cicd,internal,8,8,v4-grid-ordered,0,3,1,0,743,197262
cicd,internal,8,8,v5-compact-refined,0,3,1,0,567,151740
o2c_full,internal,12,13,v0-original,0,49,1,0,1367,273132
o2c_full,internal,12,13,v1-compact-ordered,0,49,1,0,837,182088
o2c_full,internal,12,13,v2-compact-spectral,0,49,1,0,837,182088
o2c_full,internal,12,13,v3-compact-classic,0,49,1,0,837,182088
o2c_full,internal,12,13,v4-grid-ordered,0,49,1,0,1367,273132
o2c_full,internal,12,13,v5-compact-refined,0,49,1,0,837,182088
hire_to_retire,internal,9,8,v0-original,0,14,0,350.44,731,222552
hire_to_retire,internal,9,8,v1-compact-ordered,0,14,0,350.44,496,166914
hire_to_retire,internal,9,8,v2-compact-spectral,0,14,0,350.44,496,166914
hire_to_retire,internal,9,8,v3-compact-classic,0,14,0,350.44,496,166914
hire_to_retire,internal,9,8,v4-grid-ordered,0,14,0,350.44,731,222552
hire_to_retire,internal,9,8,v5-compact-refined,0,14,0,350.44,496,166914
logistics_ship,internal,9,8,v0-original,0,43,0,0,720,206388
logistics_ship,internal,9,8,v1-compact-ordered,0,43,0,0,432,138996
logistics_ship,internal,9,8,v2-compact-spectral,0,43,0,0,432,138996
logistics_ship,internal,9,8,v3-compact-classic,0,43,0,0,432,138996
logistics_ship,internal,9,8,v4-grid-ordered,0,43,0,0,720,206388
logistics_ship,internal,9,8,v5-compact-refined,0,43,0,0,432,138996
healthcare,internal,9,9,v0-original,0,27,0,0,833,222552
healthcare,internal,9,9,v1-compact-ordered,0,27,0,0,621,166914
healthcare,internal,9,9,v2-compact-spectral,0,27,0,0,621,166914
healthcare,internal,9,9,v3-compact-classic,0,27,0,0,621,166914
healthcare,internal,9,9,v4-grid-ordered,0,27,0,0,833,222552
healthcare,internal,9,9,v5-compact-refined,0,27,0,0,621,166914
manufacturing,internal,9,8,v0-original,0,6,0,0,720,206388
manufacturing,internal,9,8,v1-compact-ordered,0,6,0,0,432,138996
manufacturing,internal,9,8,v2-compact-spectral,0,6,0,0,432,138996
manufacturing,internal,9,8,v3-compact-classic,0,6,0,0,432,138996
manufacturing,internal,9,8,v4-grid-ordered,0,6,0,0,720,206388
manufacturing,internal,9,8,v5-compact-refined,0,6,0,0,432,138996
movie_production,internal,9,10,v0-original,0,13,0,0,1013,222552
movie_production,internal,9,10,v1-compact-ordered,0,13,0,0,729,166914
movie_production,internal,9,10,v2-compact-spectral,0,13,0,0,729,166914
movie_production,internal,9,10,v3-compact-classic,0,13,0,0,729,166914
movie_production,internal,9,10,v4-grid-ordered,0,13,0,0,1013,222552
movie_production,internal,9,10,v5-compact-refined,0,13,0,0,729,166914
deep_chain,internal,10,9,v0-original,0,72,0,0,810,227448
deep_chain,internal,10,9,v1-compact-ordered,0,72,0,0,486,151632
deep_chain,internal,10,9,v2-compact-spectral,0,72,0,0,486,151632
deep_chain,internal,10,9,v3-compact-classic,0,72,0,0,486,151632
deep_chain,internal,10,9,v4-grid-ordered,0,72,0,0,810,227448
deep_chain,internal,10,9,v5-compact-refined,0,72,0,0,486,151632
event_planning,internal,9,9,v0-original,0,22,0,0,833,222552
event_planning,internal,9,9,v1-compact-ordered,0,22,0,0,621,166914
event_planning,internal,9,9,v2-compact-spectral,0,22,0,0,621,166914
event_planning,internal,9,9,v3-compact-classic,0,22,0,0,621,166914
event_planning,internal,9,9,v4-grid-ordered,0,22,0,0,833,222552
event_planning,internal,9,9,v5-compact-refined,0,22,0,0,621,166914
supply_chain_10cls,internal,12,11,v0-original,0,22,0,0,990,269568
supply_chain_10cls,internal,12,11,v1-compact-ordered,0,22,0,0,594,176904
supply_chain_10cls,internal,12,11,v2-compact-spectral,0,22,0,0,594,176904
supply_chain_10cls,internal,12,11,v3-compact-classic,0,22,0,0,594,176904
supply_chain_10cls,internal,12,11,v4-grid-ordered,0,22,0,0,990,269568
supply_chain_10cls,internal,12,11,v5-compact-refined,0,22,0,0,594,176904
mfg_dim,internal,10,9,v0-original,0,11,0,0,810,227448
mfg_dim,internal,10,9,v1-compact-ordered,0,11,0,0,486,151632
mfg_dim,internal,10,9,v2-compact-spectral,0,11,0,0,486,151632
mfg_dim,internal,10,9,v3-compact-classic,0,11,0,0,486,151632
mfg_dim,internal,10,9,v4-grid-ordered,0,11,0,0,810,227448
mfg_dim,internal,10,9,v5-compact-refined,0,11,0,0,486,151632
pipeline_dim,internal,8,8,v0-original,0,6,0,0,821,197262
pipeline_dim,internal,8,8,v1-compact-ordered,0,6,0,0,557,151740
pipeline_dim,internal,8,8,v2-compact-spectral,0,6,0,0,557,151740
pipeline_dim,internal,8,8,v3-compact-classic,0,6,0,0,557,151740
pipeline_dim,internal,8,8,v4-grid-ordered,0,6,0,0,821,197262
pipeline_dim,internal,8,8,v5-compact-refined,0,6,0,0,557,151740
g.20.3,north,20,20,v0-original,1,29,2,0,1845,230490
g.20.3,north,20,20,v1-compact-ordered,0,29,2,0,1495,182520
g.20.3,north,20,20,v2-compact-spectral,0,29,2,0,1495,182520
g.20.3,north,20,20,v3-compact-classic,1,29,2,0,1558,228150
g.20.3,north,20,20,v4-grid-ordered,0,29,2,0,1795,184392
g.20.3,north,20,20,v5-compact-refined,0,29,2,0,1495,182520
g.30.1,north,30,45,v0-original,13,45,3,0,7293,329940
g.30.1,north,30,45,v1-compact-ordered,1,45,2,0,6764,326430
